Trip Start Date,Start Year,Start Month,St,Common Name,Units,Reported Qty,Gear,Disposition
11-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,1400,BY HAND,Bait
12-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,900,BY HAND,Bait
7-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,44000,BY HAND,Biomedical Use
8-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,60000,BY HAND,Biomedical Use
10-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,27000,BY HAND,Biomedical Use
23-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,11000,BY HAND,Biomedical Use
28-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,38000,BY HAND,Biomedical Use
29-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,14000,BY HAND,Biomedical Use
30-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,7500,BY HAND,Biomedical Use
31-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,30000,BY HAND,Biomedical Use
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,32000,BY HAND,Biomedical Use
9-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,33300,BY HAND,Biomedical Use
21-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,28000,BY HAND,Biomedical Use
30-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,7500,BY HAND,Biomedical Use
31-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,36800,BY HAND,Biomedical Use
7-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,20400,BY HAND,Biomedical Use
8-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,42900,BY HAND,Biomedical Use
9-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,32300,BY HAND,Biomedical Use
21-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,82200,BY HAND,Biomedical Use
22-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,49600,BY HAND,Biomedical Use
23-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,28800,BY HAND,Biomedical Use
25-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,17800,BY HAND,Biomedical Use
28-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,3100,BY HAND,Biomedical Use
29-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,3800,BY HAND,Biomedical Use
31-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,14700,BY HAND,Biomedical Use
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,61200,BY HAND,Biomedical Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,11800,BY HAND,Biomedical Use
5-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,1200,BY HAND,Bait
7-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,4000,BY HAND,Bait
10-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,1900,BY HAND,Bait
11-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,3300,BY HAND,Bait
12-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,4700,BY HAND,Bait
14-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,3000,BY HAND,Bait
17-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,3900,BY HAND,Bait
18-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,4300,BY HAND,Bait
21-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
22-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,2500,BY HAND,Bait
23-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,2100,BY HAND,Bait
25-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,5700,BY HAND,Bait
28-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,2000,BY HAND,Bait
29-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
21-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,2600,BY HAND,Bait
21-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,3400,BY HAND,Bait
30-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,1000,BY HAND,Bait
30-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,5000,BY HAND,Bait
21-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,4000,BY HAND,Bait
22-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
8-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,43000,BY HAND,Biomedical Use
9-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,24400,BY HAND,Biomedical Use
10-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,3300,BY HAND,Biomedical Use
11-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,41200,BY HAND,Biomedical Use
21-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,42500,BY HAND,Biomedical Use
22-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Biomedical Use
23-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,47700,BY HAND,Biomedical Use
24-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,39900,BY HAND,Biomedical Use
25-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,6800,BY HAND,Biomedical Use
29-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,21600,BY HAND,Biomedical Use
30-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,58100,BY HAND,Biomedical Use
31-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,79400,BY HAND,Biomedical Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,47800,BY HAND,Biomedical Use
3-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,40000,BY HAND,Biomedical Use
4-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,17200,BY HAND,Biomedical Use
15-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,3800,BY HAND,Bait
16-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,5600,BY HAND,Bait
18-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
19-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
30-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
21-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
24-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,5500,BY HAND,Bait
28-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
26-Oct-19,2019,10,RI,"CRAB, HORSESHOE",CN,1800,"POTS AND TRAPS, CONCH",Bait
23-Oct-19,2019,10,RI,"CRAB, HORSESHOE",CN,800,"POTS AND TRAPS, CONCH",Bait
6-Oct-19,2019,10,RI,"CRAB, HORSESHOE",CN,800,"POTS AND TRAPS, CONCH",Bait
8-Oct-19,2019,10,RI,"CRAB, HORSESHOE",CN,500,"POTS AND TRAPS, CONCH",Bait
5-Nov-19,2019,11,RI,"CRAB, HORSESHOE",CN,500,"POTS AND TRAPS, CONCH",Bait
28-Aug-19,2019,8,RI,"CRAB, HORSESHOE",LB,600,OTTER TRAWLS,Personal Use
10-Jul-19,2019,7,RI,"CRAB, HORSESHOE",CN,1300,OTTER TRAWLS,Food
10-Jul-19,2019,7,RI,"CRAB, HORSESHOE",CN,1300,OTTER TRAWLS,Bait
16-Jul-19,2019,7,RI,"CRAB, HORSESHOE",CN,300,OTTER TRAWLS,Food
16-Jul-19,2019,7,RI,"CRAB, HORSESHOE",CN,300,OTTER TRAWLS,Food
12-Jul-19,2019,7,RI,"CRAB, HORSESHOE",CN,1700,OTTER TRAWLS,Food
12-Jul-19,2019,7,RI,"CRAB, HORSESHOE",CN,1700,OTTER TRAWLS,Bait
11-Jul-19,2019,7,RI,"CRAB, HORSESHOE",CN,1700,OTTER TRAWLS,Food
11-Jul-19,2019,7,RI,"CRAB, HORSESHOE",CN,1700,OTTER TRAWLS,Bait
29-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,1700,BY HAND,Bait
22-May-19,2019,5,RI,"CRAB, HORSESHOE",LB,35000,BY HAND,Biomedical Use
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",LB,50000,BY HAND,Biomedical Use
9-May-19,2019,5,RI,"CRAB, HORSESHOE",LB,33000,BY HAND,Biomedical Use
10-May-19,2019,5,RI,"CRAB, HORSESHOE",LB,42000,BY HAND,Biomedical Use
21-May-19,2019,5,RI,"CRAB, HORSESHOE",LB,41200,BY HAND,Biomedical Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",LB,26000,BY HAND,Biomedical Use
22-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,80000,BY HAND,Biomedical Use
23-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,36000,BY HAND,Biomedical Use
7-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,73000,BY HAND,Biomedical Use
8-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,114000,BY HAND,Biomedical Use
9-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,109000,BY HAND,Biomedical Use
10-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,73000,BY HAND,Biomedical Use
11-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,41000,BY HAND,Biomedical Use
21-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,107800,BY HAND,Biomedical Use
25-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,33000,BY HAND,Biomedical Use
22-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,114000,BY HAND,Biomedical Use
23-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,108000,BY HAND,Biomedical Use
24-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,81000,BY HAND,Biomedical Use
30-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,5000,BY HAND,Biomedical Use
31-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,61000,BY HAND,Biomedical Use
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,101000,BY HAND,Biomedical Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,80000,BY HAND,Biomedical Use
4-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,64000,BY HAND,Biomedical Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
4-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
7-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
3-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
13-Sep-19,2019,9,RI,"CRAB, HORSESHOE",CN,100,BY HAND,Personal Use
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Personal Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Personal Use
7-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,2700,BY HAND,Personal Use
26-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,2900,BY HAND,Personal Use
